"","recency","history_segment","history","mens","womens","zip_code","newbie","channel","segment","visit","conversion","spend","treatment","obs_rate_c","obs_rate_t","random_number"
"1",6,"3) $200 - $350",329.08,1,1,"Rural",1,"Web","No E-Mail",0,0,0,0,0.5,1,0.2655086631421
"2",9,"5) $500 - $750",675.83,1,0,"Rural",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.37212389963679
"3",9,"5) $500 - $750",675.07,1,1,"Rural",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.572853363351896
"4",2,"2) $100 - $200",101.64,0,1,"Urban",0,"Web","Mens E-Mail",1,0,0,1,0.5,1,0.908207789994776
"5",4,"3) $200 - $350",241.42,0,1,"Rural",1,"Multichannel","No E-Mail",0,0,0,0,0.5,1,0.201681931037456
"6",5,"1) $0 - $100",29.99,1,0,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.944675268605351
"7",5,"6) $750 - $1,000",828.42,1,0,"Surburban",1,"Multichannel","Mens E-Mail",0,0,0,1,0.5,1,0.0617862704675645
"8",9,"1) $0 - $100",29.99,0,1,"Surburban",1,"Phone","No E-Mail",0,0,0,0,1,0.5,0.205974574899301
"9",11,"2) $100 - $200",182.32,1,0,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1,1,0.5,0.176556752528995
"10",2,"2) $100 - $200",118.4,1,0,"Surburban",0,"Web","Mens E-Mail",1,0,0,1,0.5,1,0.687022846657783
"11",2,"1) $0 - $100",29.99,0,1,"Urban",1,"Phone","No E-Mail",0,0,0,0,0.5,1,0.384103718213737
"12",6,"2) $100 - $200",139.87,0,1,"Rural",1,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.497699242085218
"13",7,"4) $350 - $500",435.73,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0,0.5,1,0.380035179434344
"14",9,"3) $200 - $350",334.24,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.934705231105909
"15",6,"2) $100 - $200",128.01,0,1,"Urban",0,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.212142521282658
"16",1,"5) $500 - $750",514.52,0,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.125555095961317
"17",4,"6) $750 - $1,000",766.47,1,1,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1,0.5,1,0.267220668727532
"18",7,"5) $500 - $750",520.43,0,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.386114092543721
"19",11,"3) $200 - $350",236.97,1,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,1,0.5,0.0133903331588954
"20",3,"1) $0 - $100",99.23,1,0,"Rural",0,"Web","Mens E-Mail",1,0,0,1,0.5,1,0.382387957070023
"21",1,"1) $0 - $100",48.32,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0,0.5,1,0.34034899668768
"22",10,"1) $0 - $100",29.99,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0,1,0.5,0.482080115471035
"23",1,"5) $500 - $750",729.7,1,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.493541307048872
"24",3,"3) $200 - $350",203.3,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0,0.5,1,0.186217601411045
"25",12,"2) $100 - $200",150.06,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0,1,0.5,0.107943625887856
"26",6,"1) $0 - $100",42.66,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0,1,0.5,0.723710946040228
"27",3,"5) $500 - $750",549.29,1,0,"Surburban",1,"Multichannel","No E-Mail",0,0,0,0,0.5,1,0.411274429643527
"28",9,"5) $500 - $750",506.83,1,0,"Rural",1,"Multichannel","Mens E-Mail",0,0,0,1,0.5,1,0.820946294115856
"29",11,"1) $0 - $100",53.81,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0,1,0.5,0.789356231689453
"30",9,"2) $100 - $200",154.15,0,1,"Surburban",0,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.023331202333793
"31",2,"3) $200 - $350",278.8,1,0,"Rural",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.477230065036565
"32",2,"4) $350 - $500",428.74,1,0,"Rural",0,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.7323137386702
"33",11,"3) $200 - $350",228.09,0,1,"Surburban",1,"Web","No E-Mail",0,0,0,0,1,0.5,0.692731556482613
"34",1,"5) $500 - $750",640.58,0,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.477619622135535
"35",7,"1) $0 - $100",84.49,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0,1,0.5,0.438097107224166
"36",7,"3) $200 - $350",235.14,0,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,1,0.5,0.244797277031466
"37",2,"1) $0 - $100",29.99,0,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.0706790471449494
"38",7,"3) $200 - $350",272.32,1,0,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.0994661601725966
"39",2,"1) $0 - $100",95.33,0,1,"Surburban",0,"Web","No E-Mail",1,0,0,0,0.5,1,0.31627170718275
"40",5,"4) $350 - $500",494.26,1,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.518634263193235
"41",2,"6) $750 - $1,000",809.07,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.662005076417699
"42",3,"2) $100 - $200",101.61,0,1,"Surburban",1,"Phone","No E-Mail",0,0,0,0,0.5,1,0.406830187188461
"43",8,"1) $0 - $100",52.64,0,1,"Surburban",1,"Web","No E-Mail",0,0,0,0,1,0.5,0.912875924259424
"44",6,"4) $350 - $500",466.29,1,0,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1,0.5,1,0.293603372760117
"45",3,"2) $100 - $200",100.85,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.459065726259723
"46",3,"7) $1,000 +",1397.57,1,0,"Surburban",1,"Multichannel","Mens E-Mail",0,0,0,1,0.5,1,0.332394674187526
"47",2,"6) $750 - $1,000",770.58,0,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.65087046707049
"48",3,"7) $1,000 +",1973.87,1,0,"Surburban",1,"Multichannel","No E-Mail",0,0,0,0,0.5,1,0.258016780717298
"49",3,"2) $100 - $200",133.51,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.478545248275623
"50",11,"2) $100 - $200",189.25,0,1,"Urban",1,"Phone","No E-Mail",0,0,0,0,1,0.5,0.0842469143681228
"51",8,"1) $0 - $100",66.14,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0,1,0.5,0.875321330036968
"52",11,"2) $100 - $200",146.04,0,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1,1,0.5,0.339072937844321
"53",12,"1) $0 - $100",29.99,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0,1,0.5,0.839440350187942
"54",9,"7) $1,000 +",1172.42,1,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.34668348915875
"55",5,"3) $200 - $350",244.34,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.333774930797517
"56",9,"2) $100 - $200",151.01,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0,1,0.5,0.476351245073602
"57",1,"2) $100 - $200",117.27,0,1,"Rural",0,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.389989543473348
"58",1,"2) $100 - $200",110.07,0,1,"Urban",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.434659484773874
"59",2,"1) $0 - $100",29.99,0,1,"Urban",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.712514678714797
"60",11,"2) $100 - $200",160.04,1,0,"Rural",0,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.399994368897751
"61",1,"4) $350 - $500",418.68,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0,0.5,1,0.325352151878178
"62",11,"3) $200 - $350",316.23,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.757087148027495
"63",9,"3) $200 - $350",329.96,0,1,"Surburban",1,"Phone","No E-Mail",0,0,0,0,0.5,1,0.202692255144939
"64",1,"5) $500 - $750",616.73,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.121691921027377
"65",3,"3) $200 - $350",249.71,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0,0.5,1,0.245488513959572
"66",2,"1) $0 - $100",46.09,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0,0.5,1,0.14330437942408
"67",8,"1) $0 - $100",48.87,1,0,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.239629415096715
"68",4,"3) $200 - $350",270.24,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0,0.5,1,0.0589343772735447
"69",9,"3) $200 - $350",228.8,1,0,"Surburban",0,"Multichannel","Mens E-Mail",1,0,0,1,0.5,1,0.642288258532062
"70",3,"1) $0 - $100",29.99,1,0,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.79730882588774
"71",2,"1) $0 - $100",29.99,0,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.455274453619495
"72",7,"3) $200 - $350",229.53,1,0,"Surburban",0,"Web","Mens E-Mail",1,0,0,1,1,0.5,0.410084082046524
"73",5,"1) $0 - $100",29.99,0,1,"Surburban",1,"Phone","Mens E-Mail",1,0,0,1,0.5,1,0.654723928077146
"74",9,"3) $200 - $350",274.29,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0,1,0.5,0.353197271935642
"75",1,"3) $200 - $350",293.37,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0,0.5,1,0.270260145887733
"76",12,"1) $0 - $100",29.99,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0,1,0.5,0.99268406117335
"77",1,"2) $100 - $200",142.4,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0,0.5,1,0.213208135217428
"78",1,"1) $0 - $100",29.99,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.129372348077595
"79",12,"3) $200 - $350",284.54,1,1,"Surburban",0,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.478118034312502
"80",4,"7) $1,000 +",1089.77,1,0,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1,0.5,1,0.59876096714288
"81",1,"6) $750 - $1,000",790.36,1,1,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1,0.5,1,0.976170694921166
"82",12,"3) $200 - $350",271.89,1,0,"Rural",0,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.356726912083104
"83",3,"1) $0 - $100",39.83,0,1,"Urban",1,"Phone","Mens E-Mail",1,0,0,1,0.5,1,0.431473690550774
"84",5,"3) $200 - $350",269.99,1,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.148211560677737
"85",4,"3) $200 - $350",292.61,1,0,"Surburban",0,"Multichannel","No E-Mail",0,0,0,0,0.5,1,0.0130775754805654
"86",6,"1) $0 - $100",29.99,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0,1,0.5,0.715566066093743
"87",9,"2) $100 - $200",116.3,1,0,"Rural",1,"Web","Mens E-Mail",1,0,0,1,1,0.5,0.103184235747904
"88",5,"1) $0 - $100",29.99,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0,0.5,1,0.446284348610789
"89",1,"5) $500 - $750",720.17,1,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.495593577856198
"90",4,"1) $0 - $100",69.08,0,1,"Urban",0,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.484349524369463
"91",1,"3) $200 - $350",301.19,1,0,"Surburban",1,"Web","No E-Mail",0,0,0,0,0.5,1,0.173442334868014
"92",10,"3) $200 - $350",307.64,0,1,"Urban",0,"Multichannel","Mens E-Mail",0,0,0,1,0.5,1,0.754820944508538
"93",7,"4) $350 - $500",481.56,1,0,"Surburban",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.453895489219576
"94",10,"1) $0 - $100",29.99,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0,1,0.5,0.511169783771038
"95",5,"4) $350 - $500",425.1,1,0,"Rural",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.207545113284141
"96",10,"1) $0 - $100",36.28,1,0,"Urban",1,"Web","No E-Mail",0,0,0,0,1,0.5,0.228658142732456
"97",7,"1) $0 - $100",32.42,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0,1,0.5,0.595711996313184
"98",1,"5) $500 - $750",506.51,1,0,"Urban",1,"Multichannel","No E-Mail",0,0,0,0,0.5,1,0.0770643802825361
"99",8,"5) $500 - $750",575.62,1,1,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1,0.5,1,0.0355405795853585
"100",8,"2) $100 - $200",171.88,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0,1,0.5,0.560900748008862
"101",8,"3) $200 - $350",336.76,0,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.682788078673184
"102",4,"1) $0 - $100",52.12,1,0,"Urban",0,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.238868677755818
"103",7,"4) $350 - $500",406.7,0,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.258165926672518
"104",1,"2) $100 - $200",181.98,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.452570831403136
"105",5,"1) $0 - $100",29.99,0,1,"Rural",1,"Web","No E-Mail",0,0,0,0,0.5,1,0.175126768415794
"106",6,"1) $0 - $100",29.99,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.104987640399486
"107",8,"2) $100 - $200",130.31,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0,1,0.5,0.864544949028641
"108",3,"1) $0 - $100",65.26,1,0,"Urban",0,"Web","Mens E-Mail",1,0,0,1,0.5,1,0.614644971676171
"109",8,"2) $100 - $200",104.94,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0,1,0.5,0.328777319053188
"110",7,"1) $0 - $100",69.44,1,0,"Rural",0,"Web","Mens E-Mail",1,0,0,1,1,0.5,0.453131445450708
"111",5,"4) $350 - $500",354.03,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.180866361130029
"112",10,"2) $100 - $200",151.43,1,0,"Urban",0,"Web","No E-Mail",0,0,0,0,1,0.5,0.529630602803081
"113",11,"2) $100 - $200",120.14,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.0752757457084954
"114",5,"3) $200 - $350",290.86,1,0,"Urban",1,"Web","No E-Mail",0,0,0,0,0.5,1,0.277755932649598
"115",11,"1) $0 - $100",81.06,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.212699519237503
"116",10,"1) $0 - $100",55.11,1,0,"Urban",1,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.284790480975062
"117",1,"5) $500 - $750",513.83,0,1,"Surburban",1,"Multichannel","Mens E-Mail",0,0,0,1,0.5,1,0.895094102947041
"118",4,"6) $750 - $1,000",770.38,0,1,"Rural",1,"Multichannel","No E-Mail",0,0,0,0,0.5,1,0.4462353233248
"119",1,"1) $0 - $100",33.5,1,0,"Surburban",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.779984889784828
"120",2,"1) $0 - $100",56.25,1,0,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.880619034869596
"121",2,"7) $1,000 +",1093.92,1,1,"Surburban",1,"Web","No E-Mail",0,0,0,0,0.5,1,0.413124209502712
"122",1,"6) $750 - $1,000",752.8,1,1,"Urban",1,"Phone","No E-Mail",0,0,0,0,0.5,1,0.0638084805104882
"123",2,"2) $100 - $200",199.95,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0,0.5,1,0.335487491684034
"124",9,"3) $200 - $350",239.91,0,1,"Rural",0,"Phone","No E-Mail",0,0,0,0,1,0.5,0.723725946620107
"125",8,"1) $0 - $100",43.16,0,1,"Urban",1,"Phone","No E-Mail",0,0,0,0,1,0.5,0.337615333497524
"126",3,"1) $0 - $100",67.4,1,0,"Surburban",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.840614554006606
"127",7,"3) $200 - $350",329.26,0,1,"Urban",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.39135928102769
"128",1,"1) $0 - $100",29.99,1,0,"Rural",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.380493885604665
"129",5,"1) $0 - $100",39.52,1,0,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.895445425994694
"130",10,"4) $350 - $500",375.9,0,1,"Urban",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.605303446529433
"131",9,"3) $200 - $350",220.51,1,0,"Urban",0,"Multichannel","Mens E-Mail",0,0,0,1,0.5,1,0.293730155099183
"132",6,"1) $0 - $100",78.69,0,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1,1,0.5,0.19126010988839
